R-RMNY,PAGE,URL
1127-RMNY-0353,0003,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_374.html
1129-RMNY-0353,0066,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_074.html
1148-RMNY-0353,0107,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_479.html
1162-RMNY-0353,0251,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_260.html
1165-RMNY-0353,0014,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_024.html
1218-RMNY-0353,0191,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_200.html
1231-RMNY-0353,0066,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_438.html
1244-RMNY-0351,0216,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0222.html
1245-RMNY-0351,0140,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0146.html
1247-RMNY-0351,0445,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0453.html
1250-RMNY-0439,0000,http://mek.oszk.hu/12000/12023/html/RMK_I_0156_0001.html
1259-RMNY-0353,0065,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_437.html
1263-RMNY-0353,0048,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_420.html
1270-RMNY-0351,0073,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0078.html
1270-RMNY-0468,0000,http://mek.oszk.hu/12000/12027/html/RMK_I_0174_0001.html
1287-RMNY-0438,0000,http://mek.oszk.hu/12000/12030/html/RMK_I_0155_0001.html
1295-RMNY-0353,0038,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_409.html
1300-RMNY-0353,0119,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_492.html
1309-RMNY-0353,0039,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_411.html
1313-RMNY-0353,0173,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_182.html
1326-RMNY-0353,0107,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_116.html
1334-RMNY-0351,0203,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0209.html
1345-RMNY-0353,0104,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_476.html
1356-RMNY-0353,0028,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_398.html
1364-RMNY-0353,0022,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_392.html
1368-RMNY-0353,0011,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_382.html
1371-RMNY-0353,0210,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_219.html
1378-RMNY-0353,0001,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_372.html
1381-RMNY-0351,0253,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0259.html
1389-RMNY-1059,0043,http://mek.oszk.hu/12500/12575/html/rmk-1_443.html
1400-RMNY-0353,0289,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_297.html
1403-RMNY-0353,0329,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_338.html
1124-RMNY-0353,0327,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_336.html
1102-RMNY-0353,0328,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_336.html
1096-RMNY-0353,0328,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_337.html
1418-RMNY-0353,0007,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_377.html
1425-RMNY-0353,0118,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_490.html
1428-RMNY-0353,0102,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_474.html
1437-RMNY-0353,0061,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_433.html
1438-RMNY-0353,0009,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_380.html
1448-RMNY-0353,0287,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_296.html
1496-RMNY-0353,0033,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_403.html
0735-RMNY-0353,0020,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_391.html
0872-RMNY-0353,0217,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_225.html
